名稱,類別,單位價格,熱量(kcal),蛋白(g),碳水化合物(g),維生素A(I.U.),鈣(mg),脂肪(g),膽固醇(mg),鈉(mg),膳食纖維(g),維生素C(mg)
二節翅(土雞),烤肉,23.3,227.964,19.8,0,143.3319,6,15.9,119.8,68,0,0.4
二節翅(肉雞),烤肉,23.3,229.9961,16.3785,0,184.4315,10.1,17.745,109.555,98.16,0,2.6835
三節翅平均值,烤肉,32,210.3016,18.3292,0,141.2161,7.9286,14.6382,101.9413,75.3803,0,1.6963
三節翅(土雞),烤肉,32,198.39,19,0,99.999,5,13,102.5,66,0,1.1
三節翅(肉雞),烤肉,32,222.2132,17.6583,0,182.4332,10.8571,16.2763,101.3826,84.7606,0,2.2925
翅腿(肉雞),烤肉,24.1,209.6877,17.759,0.9968,180.0649,7.41,14.84,97.51,69.82,0,2.613
雞心(肉雞),烤肉,24.3,189.6825,13.2535,0.1004,189.7648,3.715,14.755,149.525,87.125,0,2.905
雞肝(肉雞),烤肉,30,111.3352,18.786,2.6984,133814.0118,3.82,3.45,342.9915,93.415,0,16.789
雞胗(肉雞),烤肉,57,88.9813,16.635,0.2942,40.1829,6.935,1.99,203.9945,57.37,0,3.119
全鴨平均值,鴨肉,18.8,271.7791,17.1015,0,84.6325,7.285,22.035,84.8855,46.14,0,1.927
鴨血,鴨肉,11.7,28.79,6.006,0,47.9685,5.3543,0.3486,40.998,130.9003,0,0.31
鴨賞,鴨肉,75,304,31.1,5.3,116.6655,26,17.6,143.5,2853,0,0.4
鵝肉,鵝肉,75,187.48,15.6,2.4,149.9985,11,13.4,71.1,54,0,0.6
茶鵝,鵝肉,62.5,351.91,15.55,0,249.3642,7.67,32.55,81.71,376.5,0,1.99
火雞肉,火雞肉,24,140.609,21.1,0,96.6657,3,5.6,54,51,0,1.2
日本鰻鱺魚片(蒲燒),蒲燒鰻,95,275.8459,25.031,0.8756,7220.4451,233.127,18.7321,201.462,420.708,0,0.81
魩仔魚,魩仔魚,41.6,55.617,11.0715,0,284.4238,157.0935,0.9248,94.7505,455.745,0,1.0605
虱目魚平均值(去皮),虱目魚,8.1,178.8512,21.84,0.1554,146.6245,16.4415,9.4894,58.9681,41.3935,0,0.9832
白肉鮭魚切片,鮭魚,43,151.2298,22.563,0.2913,23.3464,38.263,6.0849,54.73,53.0993,0,0
